Date,Open,High,Low,Close,Change %,Volume
"May 22, 2025","5,841.26","5,878.08","5,825.82","5,842.01",-0.04%,"2,741,390,992"
"May 21, 2025","5,910.18","5,938.37","5,830.91","5,844.57",-1.61%,"3,049,243,973"
"May 20, 2025","5,944.66","5,953.06","5,909.26","5,940.46",-0.39%,"2,508,118,358"
"May 19, 2025","5,902.88","5,968.61","5,895.69","5,963.60",0.09%,"2,495,842,995"
"May 16, 2025","5,929.09","5,958.62","5,907.36","5,958.38",0.70%,"2,871,171,204"
"May 15, 2025","5,869.82","5,924.21","5,865.16","5,916.93",0.41%,"3,091,731,732"
"May 14, 2025","5,896.74","5,906.55","5,872.11","5,892.58",0.10%,"3,345,903,899"
"May 13, 2025","5,854.15","5,906.64","5,845.02","5,886.55",0.72%,"3,449,413,782"
"May 12, 2025","5,807.20","5,845.37","5,786.08","5,844.19",3.26%,"3,711,659,720"
"May 09, 2025","5,679.65","5,691.69","5,644.15","5,659.91",-0.07%,"2,403,406,048"
"May 08, 2025","5,663.60","5,720.10","5,635.38","5,663.94",0.58%,"3,177,885,492"
"May 07, 2025","5,614.18","5,654.73","5,578.64","5,631.27",0.43%,"3,154,482,483"
"May 06, 2025","5,605.87","5,649.58","5,586.04","5,606.90",-0.77%,"2,695,834,935"
"May 05, 2025","5,655.32","5,683.38","5,634.48","5,650.55",-0.64%,"2,586,048,026"
"May 02, 2025","5,645.88","5,700.70","5,642.28","5,686.68",1.47%,"2,958,880,323"
"May 01, 2025","5,625.14","5,658.91","5,597.35","5,604.10",0.63%,"3,135,357,145"
"Apr. 30, 2025","5,499.44","5,581.84","5,433.24","5,569.06",0.15%,"3,538,788,570"
"Apr. 29, 2025","5,508.87","5,571.95","5,505.70","5,560.82",0.58%,"2,752,456,308"
"Apr. 28, 2025","5,529.22","5,553.66","5,468.64","5,528.73",0.06%,"2,683,082,233"
"Apr. 25, 2025","5,489.73","5,528.11","5,455.86","5,525.21",0.74%,"2,913,000,107"
"Apr. 24, 2025","5,381.38","5,489.40","5,371.96","5,484.79",2.03%,"3,084,000,446"
"Apr. 23, 2025","5,395.92","5,469.69","5,356.17","5,375.84",1.67%,"3,485,009,075"
"Apr. 22, 2025","5,207.67","5,309.61","5,207.67","5,287.76",2.51%,"2,959,903,347"
"Apr. 21, 2025","5,232.94","5,232.94","5,101.63","5,158.20",-2.36%,"2,890,261,083"
"Apr. 17, 2025","5,305.45","5,328.31","5,255.58","5,282.70",0.13%,"3,082,630,549"
"Apr. 16, 2025","5,335.75","5,367.24","5,220.79","5,275.72",-2.24%,"3,280,751,252"
"Apr. 15, 2025","5,411.99","5,450.41","5,386.44","5,396.63",-0.17%,"2,741,757,280"
"Apr. 14, 2025","5,441.96","5,459.46","5,358.02","5,405.97",0.79%,"3,225,744,117"
"Apr. 11, 2025","5,255.56","5,381.46","5,220.77","5,363.36",1.81%,"3,664,312,763"
"Apr. 10, 2025","5,353.15","5,353.15","5,115.27","5,268.05",-3.46%,"4,750,759,195"
"Apr. 09, 2025","4,965.28","5,481.34","4,948.43","5,456.90",9.52%,"6,581,460,420"
"Apr. 08, 2025","5,193.57","5,267.47","4,910.42","4,982.77",-1.57%,"5,011,859,973"
"Apr. 07, 2025","4,953.79","5,246.57","4,835.04","5,062.25",-0.23%,"6,163,753,145"
"Apr. 04, 2025","5,292.14","5,292.14","5,069.90","5,074.08",-5.97%,"6,012,574,405"
"Apr. 03, 2025","5,492.74","5,499.53","5,390.83","5,396.52",-4.84%,"4,948,328,137"
"Apr. 02, 2025","5,580.76","5,695.31","5,571.48","5,670.97",0.67%,"2,696,355,183"
"Apr. 01, 2025","5,597.53","5,650.57","5,558.52","5,633.07",0.38%,"2,759,529,756"
"Mar. 31, 2025","5,527.91","5,627.56","5,488.73","5,611.85",0.55%,"3,670,846,121"
"Mar. 28, 2025","5,679.20","5,685.89","5,572.42","5,580.94",-1.97%,"2,827,594,308"
"Mar. 27, 2025","5,695.64","5,732.28","5,670.94","5,693.31",-0.33%,"2,802,155,636"
"Mar. 26, 2025","5,771.66","5,783.62","5,694.41","5,712.20",-1.12%,"2,846,439,864"
"Mar. 25, 2025","5,775.96","5,786.95","5,760.42","5,776.65",0.16%,"2,655,844,751"
"Mar. 24, 2025","5,718.08","5,775.14","5,718.08","5,767.57",1.76%,"3,022,043,766"
"Mar. 21, 2025","5,630.73","5,670.84","5,603.10","5,667.56",0.08%,"6,444,946,715"
"Mar. 20, 2025","5,646.92","5,711.15","5,632.33","5,662.89",-0.22%,"2,823,675,773"
"Mar. 19, 2025","5,632.37","5,715.33","5,622.20","5,675.29",1.08%,"3,006,397,074"
"Mar. 18, 2025","5,654.53","5,654.53","5,597.76","5,614.66",-1.07%,"2,877,757,841"
"Mar. 17, 2025","5,635.60","5,703.52","5,631.12","5,675.12",0.64%,"2,970,147,082"
"Mar. 14, 2025","5,563.85","5,645.27","5,563.85","5,638.94",2.13%,"2,996,790,175"
"Mar. 13, 2025","5,594.45","5,597.78","5,504.65","5,521.52",-1.39%,"3,306,743,119"
"Mar. 12, 2025","5,624.84","5,642.19","5,546.09","5,599.30",0.49%,"3,430,169,581"
"Mar. 11, 2025","5,603.65","5,636.30","5,528.41","5,572.07",-0.76%,"4,089,534,750"
"Mar. 10, 2025","5,705.37","5,705.37","5,564.02","5,614.56",-2.70%,"4,314,328,366"
"Mar. 07, 2025","5,726.01","5,783.01","5,666.29","5,770.20",0.55%,"3,933,343,346"
"Mar. 06, 2025","5,785.87","5,812.08","5,711.64","5,738.52",-1.78%,"3,322,116,098"
"Mar. 05, 2025","5,781.36","5,860.59","5,742.35","5,842.63",1.12%,"3,301,325,429"
"Mar. 04, 2025","5,811.98","5,865.08","5,732.59","5,778.15",-1.22%,"4,235,272,084"
"Mar. 03, 2025","5,968.33","5,986.09","5,810.91","5,849.72",-1.76%,"3,598,858,653"
"Feb. 28, 2025","5,856.74","5,959.40","5,837.66","5,954.50",1.59%,"4,230,754,959"
"Feb. 27, 2025","5,981.88","5,993.69","5,858.78","5,861.57",-1.59%,"3,317,244,265"
"Feb. 26, 2025","5,970.87","6,009.82","5,932.69","5,956.06",0.01%,"2,942,820,479"
"Feb. 25, 2025","5,982.73","5,992.65","5,908.49","5,955.25",-0.47%,"3,450,037,837"
"Feb. 24, 2025","6,026.69","6,043.65","5,977.83","5,983.25",-0.50%,"3,202,465,932"
"Feb. 21, 2025","6,114.10","6,114.82","6,008.56","6,013.13",-1.71%,"3,362,471,688"
"Feb. 20, 2025","6,134.50","6,134.50","6,084.59","6,117.52",-0.43%,"2,951,967,292"
